sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final
ZSCAN10_E6_1281.169,ZSCAN10,1934,4337
ABL1_PKc_E9_68,ABL1,1047,2570
STK3_PKc_E4_41,STK3,678,1543
DZIP3_3627.150,DZIP3,3122,8185
RNF34_1122.98,RNF34,1122,2698
BNC2_E6_176.7,BNC2,1651,5222
MORF_e14_210.22,MORF,1023,2320
FOXD4_E1_234.40,FOXD4,1185,2673
MYT1_E10_114.1,MYT1,2243,5302
CAPN2_2103.67,CAPN2,1410,2570
TULP1_E10_108.16,TULP1,2859,7471
POLR2A_e2.2,POLR2A,3477,5836
ERBB4_PKc_E20_186.2,ERBB4,1055,2348
TRRAP_PKc_E71_195,TRRAP,676,1302
DDB1_3423.305,DDB1,1949,3363
MORF_e12_162.8,MORF,3396,7755
ADAMTS8_2670.123,ADAMTS8,1334,3780
BHLHE40_E3_108.9,BHLHE40,505,1440
PSEN1_1404.131,PSEN1,2505,5566
ZNF770_E3_1944.67,ZNF770,2010,4529
TBX15_E6_63.0,TBX15,3050,7925
WHSC1_PWWP218337_E1_4098.534,WHSC1,1196,3243
ZNF280D_E12_101.1,ZNF280D,2326,5646
RNF41_954.9,RNF41,1759,4469
RFFL_1092.87,RFFL,1043,2660
TBX21_E3_122.0,TBX21,1507,3709
STK31_PKc_E20_84,STK31,1322,3046
CBX2_Chromo_E1_42.2,CBX2,965,2319
VPS41_2565.173,VPS41,2328,5823
KDM8_e4_133.7,KDM8,3010,6289
SPPL2A_1563.54,SPPL2A,1370,3112
NRF1_E7_87.6,NRF1,1185,2130
DDIT3_E4_192.22,DDIT3,930,2421
FAP_2283.129,FAP,2934,7877
CNDP1_1524.43,CNDP1,1726,4019
VPS11_2825.273,VPS11,1488,3080
SOCS3_678.21,SOCS3,549,1348
ZFP30_E6_1074.18,ZFP30,1613,3576
RCOR3_E11_92.1,RCOR3,2751,7229
RCOR3_SANT2_E11_101.1,RCOR3,2751,7229
USP17L10_1593.147,USP17L10,1404,2513
PDK1_PKc_E2_142.3,PDK1,1388,4009
NEDD4_3960.104,NEDD4,1187,2962
SMARCA4_HELIC_e25.1,SMARCA4,11426,22485
BRPF1_ePhd_E3_363.44,BRPF1,536,1104
RSPRY1_1731.64,RSPRY1,436,1035
neg8,neg8,12729,33711
RHOBTB1_BTB476581_E1_2091.176,RHOBTB1,433,1013
ALG13_51.4,ALG13,1019,2868
SIRT4_e4_158.10,SIRT4,997,2403
RNF133_1131.13,RNF133,1551,4121
PAX5_E2_166.9,PAX5,1025,2611
HOXB9_E2_177.12,HOXB9,1466,3145
neg46,neg46,6467,17965
TFDP2_E9_108.0,TFDP2,7580,16700
PHF14_ePhd_E8_39.0,PHF14,1431,3176
ZNF581_E2_246.42,ZNF581,2737,7216
ZNF527_E5_831.41,ZNF527,5389,12470
STAT6_E13_207.12,STAT6,1228,2762
MTF2_tudor4595_E1_1782.11,MTF2,1061,2626
ZBTB18_E2_69.0,ZBTB18,1565,3512
CTSH_1008.87,CTSH,2684,6680
GZF1_BTB21133_E1_2136.3,GZF1,1134,3028
RFPL3_954.120,RFPL3,2432,5304
FOXO6_E1_153.2,FOXO6,1477,4648
NEDD4_3960.299,NEDD4,1954,4150
PRKX_PKc_E1_52.2,PRKX,592,1624
TRIM69_1503.154,TRIM69,1957,4733
ASB13_837.31,ASB13,2270,5806
TRIM24_BD_e19_86.2,TRIM24,1904,4149
SIX3_E1_147.5,SIX3,865,1948
ZNF71_E3_1110.131,ZNF71,1603,4569
ZXDA_E1_384.9,ZXDA,1128,2576
TAOK1_PKc_E2_129.8,TAOK1,484,1155
NFX1_E10_98.3,NFX1,3294,8992
NFX1_3366.289,NFX1,3294,8992
HES4_E2_75.7,HES4,2014,4863
DSTYK_PKc_E11_115.6,DSTYK,1290,3131
DPF1_Phd2_E11_82.6,DPF1,1184,3158
PAK4_PKc_E8_126.5,PAK4,1082,2682
MAZ_E2_78.0,MAZ,1495,3644
HMGB1_E2_135.8,HMGB1,830,1848
ZBTB33_E3_657.35,ZBTB33,1523,4048
KDM3A_e21_131.0,KDM3A,2590,6195
PSMB5_792.92,PSMB5,702,1228
ARID2_E3_98.2,ARID2,865,2559
MAP3K9_PKc_E5_68.2,MAP3K9,603,1655
SH3RF1_2667.442,SH3RF1,1655,3661
IMMP2L_528.62,IMMP2L,1501,3496
MMP27_1542.151,MMP27,1912,5069
UBE2F_558.52,UBE2F,833,2034
IRX6_E4_180.0,IRX6,1917,4900
ABHD17B_882.53,ABHD17B,1793,5029
ZSCAN31_E4_492.10,ZSCAN31,2050,4339
ALK_PKc_E22_65.1,ALK,634,1363
FOXP3_E11_102.1,FOXP3,6550,16446
