Gene	sgRNA	Ts10|beta	Ts10|z	Ts10|p-value	Ts10|fdr	Ts10|wald-p-value	Ts10|wald-fdr
neg27	1	1.02	0.40879	0.35381	0.85316	0.68269	0.85661
neg28	1	0.55956	0.5303	0.65557	0.94386	0.5959	0.81592
neg29	1	1.1791	0.37217	0.27531	0.81895	0.70976	0.87057
neg30	1	0.89825	0.43864	0.41098	0.87079	0.66092	0.84992
neg31	1	1.2995	0.34622	0.22497	0.75047	0.72918	0.88169
neg32	1	1.2403	0.35879	0.24659	0.78108	0.71975	0.87717
neg33	1	0.52367	0.54078	0.67833	0.94869	0.58866	0.81299
neg34	1	0.61745	0.51372	0.61291	0.93089	0.60745	0.82079
neg35	1	0.68965	0.49357	0.56854	0.92254	0.62161	0.82361
neg36	1	0.77786	0.46976	0.51308	0.906	0.63853	0.83687
neg37	1	0.46235	0.55902	0.72071	0.96113	0.57615	0.80868
neg38	1	0.74883	0.4775	0.52901	0.90791	0.63301	0.83327
neg39	1	0.006545	0.7022	0.99175	0.998	0.48255	0.75532
neg40	1	1.319	0.34213	0.21729	0.74537	0.73225	0.88169
neg41	1	0.97608	0.41938	0.37429	0.85798	0.67494	0.85418
neg42	1	1.0891	0.39257	0.31854	0.83826	0.69464	0.86413
neg43	1	0.2939	0.61138	0.81826	0.98325	0.54095	0.79207
neg44	1	0.65268	0.50382	0.59187	0.93089	0.61439	0.82079
neg45	1	-0.019044	-0.71671	0.98976	0.998	0.47356	0.74866
neg46	1	0.55363	0.53202	0.66041	0.94386	0.59471	0.81592
neg47	1	0.9955	0.41468	0.36206	0.85695	0.67838	0.85521
neg48	1	0.92722	0.4314	0.39647	0.8653	0.66618	0.85213
neg49	1	1.0995	0.39017	0.31314	0.83044	0.69641	0.86489
neg50	1	0.55103	0.53278	0.66212	0.94386	0.59419	0.81592
neg51	1	0.60861	0.51623	0.61917	0.93396	0.6057	0.82079
neg52	1	0.24646	0.62673	0.84699	0.98845	0.53084	0.78487
neg53	1	0.62459	0.5117	0.61007	0.93089	0.60886	0.82079
neg54	1	1.098	0.39052	0.31314	0.83044	0.69615	0.86489
neg55	1	0.096274	0.67702	0.94084	0.98867	0.49839	0.76736
neg56	1	0.90338	0.43735	0.40728	0.87052	0.66185	0.84992
neg57	1	0.93337	0.42987	0.3942	0.86522	0.66729	0.8524
neg58	1	0.42395	0.57067	0.74261	0.96113	0.56823	0.80487
neg59	1	0.44373	0.56465	0.73094	0.96113	0.57231	0.80652
neg60	1	1.5186	0.30266	0.15472	0.6817	0.76215	0.89683
neg61	1	-0.42956	-0.87425	0.76593	0.9694	0.38198	0.69504
neg62	1	-1.112	-1.1777	0.48549	0.89419	0.23892	0.66759
neg63	1	0.76553	0.47303	0.51877	0.906	0.63619	0.83527
neg64	1	0.44795	0.56337	0.7281	0.96113	0.57318	0.80734
neg65	1	0.89955	0.43832	0.41098	0.87079	0.66115	0.84992
neg66	1	0.97719	0.41912	0.3723	0.85798	0.67513	0.85418
neg67	1	1.7832	0.25608	0.091297	0.56814	0.79789	0.9144
neg68	1	1.306	0.34486	0.22213	0.7488	0.7302	0.88169
neg69	1	0.34637	0.59472	0.78584	0.97432	0.55203	0.79864
neg70	1	1.5621	0.29456	0.14022	0.66263	0.76833	0.89838
neg71	1	0.81312	0.46282	0.46416	0.88907	0.64349	0.83828
neg72	1	1.366	0.33253	0.20279	0.73053	0.73949	0.88377
neg73	1	0.61941	0.51317	0.61149	0.93089	0.60783	0.82079
neg74	1	0.47908	0.554	0.70819	0.95732	0.57958	0.80989
neg75	1	0.41879	0.57224	0.74431	0.96113	0.56716	0.80441
neg76	1	1.0595	0.39946	0.33532	0.8461	0.68956	0.86127
neg77	1	-0.3696	-0.85012	0.7975	0.97602	0.39526	0.69906
neg78	1	0.12046	0.66874	0.92719	0.98867	0.50366	0.77028
neg79	1	0.96867	0.42119	0.37856	0.85816	0.67362	0.8538
neg80	1	0.50008	0.54775	0.69283	0.9526	0.58387	0.81173
neg81	1	0.21582	0.63678	0.86405	0.98867	0.52427	0.78139
neg82	1	0.81312	0.46282	0.46416	0.88907	0.64349	0.83828
neg83	1	-0.68877	-0.98338	0.64647	0.94254	0.32542	0.68002
neg84	1	0.88492	0.44201	0.41524	0.87187	0.65848	0.84838
neg85	1	-0.4904	-0.89917	0.73891	0.96113	0.36856	0.68759
neg86	1	0.95234	0.42519	0.3868	0.86367	0.6707	0.85312
neg87	1	0.45768	0.56043	0.72355	0.96113	0.57519	0.8083
neg88	1	0.40339	0.57697	0.75455	0.96508	0.56396	0.80418
neg89	1	0.43185	0.56825	0.73834	0.96113	0.56986	0.80575
neg90	1	1.0446	0.40298	0.3413	0.84686	0.68696	0.85958
neg91	1	-0.56045	-0.92838	0.70478	0.95676	0.35321	0.6849
neg92	1	-0.052039	-0.72927	0.97241	0.99506	0.46584	0.74524
neg93	1	0.64223	0.50674	0.59784	0.93089	0.61234	0.82079
neg94	1	-0.68272	-0.98073	0.65046	0.9427	0.32673	0.68116
neg95	1	-0.66783	-0.97426	0.65899	0.94386	0.32993	0.6841
neg96	1	0.63628	0.50841	0.6004	0.93089	0.61117	0.82079
neg97	1	0.39896	0.57834	0.75654	0.96623	0.56304	0.80418
neg98	1	1.5924	0.28903	0.13197	0.65455	0.77256	0.90056
neg99	1	-1.7241	-1.4914	0.32338	0.8385	0.13586	0.66759
neg100	1	1.2474	0.35728	0.24403	0.77717	0.72088	0.87764
