sgRNA,Gene,DLD1_Ctrl_3_D0,DLD1_Ctrl_3_D10
AAK1_PKc_E2_40.1,AAK1,912,786
AAK1_PKc_E3_119.6,AAK1,349,277
AAK1_PKc_E4_109.3,AAK1,430,573
AAK1_PKc_E5_143.1,AAK1,460,288
AAK1_PKc_E6_122,AAK1,584,538
AAK1_PKc_E7_82.6,AAK1,588,427
AATK_PKc_E4_36,AATK,352,261
AATK_PKc_E5_119.11,AATK,716,636
AATK_PKc_E6_88.9,AATK,1100,801
AATK_PKc_E7_134.11,AATK,468,455
AATK_PKc_E8_85.7,AATK,1012,755
AATK_PKc_E9_122.1,AATK,976,508
ABL1_PKc_E4_120.11,ABL1,563,757
ABL1_PKc_E5_85,ABL1,1567,2019
ABL1_PKc_E6_178.11,ABL1,835,944
ABL1_PKc_E7_185.15,ABL1,947,980
ABL1_PKc_E8_153.18,ABL1,1352,1233
ABL1_PKc_E9_68,ABL1,1091,1140
ABL2_PKc_E10_68.4,ABL2,499,647
ABL2_PKc_E5_120.8,ABL2,247,158
ABL2_PKc_E6_85.1,ABL2,558,530
ABL2_PKc_E7_178.9,ABL2,693,685
ABL2_PKc_E8_185,ABL2,425,347
ABL2_PKc_E9_153.7,ABL2,1374,1441
ACVR1_PKc_E10_131,ACVR1,922,916
ACVR1_PKc_E11_102.2,ACVR1,1017,925
ACVR1_PKc_E6_40,ACVR1,724,634
ACVR1_PKc_E7_147.15,ACVR1,794,618
ACVR1_PKc_E8_276.19,ACVR1,243,248
ACVR1_PKc_E9_198.4,ACVR1,574,512
ACVR1B_PKc_E10_102.5,ACVR1B,344,299
ACVR1B_PKc_E4_193.4,ACVR1B,645,573
ACVR1B_PKc_E5_123.4,ACVR1B,931,950
ACVR1B_PKc_E6_168.13,ACVR1B,1268,1007
ACVR1B_PKc_E7_157.5,ACVR1B,1029,815
ACVR1B_PKc_E9_131.14,ACVR1B,521,497
ACVR1C_PKc_E4_193.16,ACVR1C,687,531
ACVR1C_PKc_E5_168.6,ACVR1C,624,557
ACVR1C_PKc_E6_157.1,ACVR1C,581,517
ACVR1C_PKc_E7_125.7,ACVR1C,349,373
ACVR1C_PKc_E8_131.1,ACVR1C,1024,1161
ACVR1C_PKc_E9_102.6,ACVR1C,1526,1587
ACVR2A_PKc_E10_131.1,ACVR2A,1370,1018
ACVR2A_PKc_E5_87.3,ACVR2A,418,358
ACVR2A_PKc_E6_144,ACVR2A,238,138
ACVR2A_PKc_E7_146.12,ACVR2A,445,454
ACVR2A_PKc_E8_115.6,ACVR2A,1240,1026
ACVR2A_PKc_E9_139.9,ACVR2A,898,696
ACVRL1_PKc_E6_147.3,ACVRL1,586,454
ACVRL1_PKc_E6_147.8,ACVRL1,896,852
ACVRL1_PKc_E8_198.28,ACVRL1,268,269
ACVRL1_PKc_E8_198.4,ACVRL1,1110,1095
ACVRL1_PKc_E9_131,ACVRL1,453,432
ACVRL1_PKc_E9_131.6,ACVRL1,675,710
ADCK1_PKc_E5_159.11,ADCK1,578,609
ADCK1_PKc_E5_159.31,ADCK1,606,660
ADCK1_PKc_E6_159.6,ADCK1,441,497
ADCK1_PKc_E7_117.13,ADCK1,650,606
ADCK1_PKc_E8_150.18,ADCK1,821,788
ADCK1_PKc_E9_99.4,ADCK1,1119,1017
ADCK2_PKc_E1_534.7,ADCK2,280,361
ADCK2_PKc_E3_129.17,ADCK2,830,925
ADCK2_PKc_E4_96.5,ADCK2,500,502
ADCK2_PKc_E6_129.2,ADCK2,309,317
ADCK2_PKc_E7_54,ADCK2,1171,1268
ADCK2_PKc_E8_114.6,ADCK2,663,758
ADCK3_PKc_E10_94.9,ADCK3,714,688
ADCK3_PKc_E11_142.6,ADCK3,632,598
ADCK3_PKc_E12_108.8,ADCK3,817,745
ADCK3_PKc_E13_66.1,ADCK3,710,705
ADCK3_PKc_E8_141.23,ADCK3,703,680
ADCK3_PKc_E9_82.2,ADCK3,1395,1511
ADCK4_PKc_E10_94.6,ADCK4,334,384
ADCK4_PKc_E12_108.1,ADCK4,288,201
ADCK4_PKc_E13_66.2,ADCK4,1104,945
ADCK4_PKc_E14_87.6,ADCK4,1071,881
ADCK4_PKc_E8_141.12,ADCK4,600,649
ADCK4_PKc_E9_82.4,ADCK4,599,795
ADCK5_PKc_E10_82.1,ADCK5,730,753
ADCK5_PKc_E11_79.1,ADCK5,837,845
ADCK5_PKc_E12_52.5,ADCK5,408,295
ADCK5_PKc_E7_114.17,ADCK5,1029,920
ADCK5_PKc_E8_132.7,ADCK5,887,825
ADCK5_PKc_E9_84.2,ADCK5,755,693
ADRBK1_PKc_E10_79.2,ADRBK1,904,748
ADRBK1_PKc_E11_131.9,ADRBK1,669,333
ADRBK1_PKc_E12_95.3,ADRBK1,490,329
ADRBK1_PKc_E13_108.17,ADRBK1,1400,1066
ADRBK1_PKc_E8_80.4,ADRBK1,217,184
ADRBK1_PKc_E9_100.8,ADRBK1,936,886
ADRBK2_PKc_E10_79.5,ADRBK2,189,228
ADRBK2_PKc_E11_131.8,ADRBK2,858,974
ADRBK2_PKc_E12_95.1,ADRBK2,1284,1372
ADRBK2_PKc_E13_108.5,ADRBK2,721,483
ADRBK2_PKc_E8_92.2,ADRBK2,452,517
ADRBK2_PKc_E9_100.2,ADRBK2,1309,1129
AK1_PKc_E3_28,AK1,868,777
AK1_PKc_E3_28.1,AK1,434,351
AK1_PKc_E4_164.19,AK1,1063,954
AK1_PKc_E4_164.27,AK1,1838,1574
AK1_PKc_E5_117.13,AK1,657,645
AK1_PKc_E5_117.2,AK1,585,506
AK2_PKc_E6_159,AK2,908,677
AK2_PKc_E6_159.16,AK2,829,376
AK2_PKc_E6_159.17,AK2,417,314
AK2_PKc_E6_159.19,AK2,862,1158
AK2_PKc_E6_159.21,AK2,600,402
AK2_PKc_E6_159.6,AK2,24,19
AK3_PKc_E1_127.14,AK3,1057,779
AK3_PKc_E1_127.18,AK3,427,359
AK3_PKc_E2_120.3,AK3,1065,935
AK3_PKc_E3_173.2,AK3,777,815
AK3_PKc_E4_119.7,AK3,658,516
AK3_PKc_E5_40,AK3,317,74
AKT1_PKc_E10_129.13,AKT1,778,443
AKT1_PKc_E5_66.5,AKT1,457,297
AKT1_PKc_E6_132.15,AKT1,565,273
AKT1_PKc_E7_66.3,AKT1,479,323
AKT1_PKc_E8_69.2,AKT1,987,454
AKT1_PKc_E9_126.3,AKT1,617,191
AKT2_PKc_E10_129.1,AKT2,446,212
AKT2_PKc_E11_215.3,AKT2,246,218
AKT2_PKc_E6_120.14,AKT2,602,330
AKT2_PKc_E7_66.3,AKT2,354,257
AKT2_PKc_E8_69.8,AKT2,1532,962
AKT2_PKc_E9_123.8,AKT2,821,454
AKT3_PKc_E10_215.1,AKT3,276,297
AKT3_PKc_E4_36,AKT3,694,649
AKT3_PKc_E5_132.2,AKT3,1023,975
AKT3_PKc_E7_69.7,AKT3,1567,2101
AKT3_PKc_E8_123.3,AKT3,1237,1337
AKT3_PKc_E9_129.5,AKT3,950,1026
ALK_PKc_E20_35,ALK,963,909
ALK_PKc_E21_91.12,ALK,275,138
ALK_PKc_E22_65.1,ALK,500,455
ALK_PKc_E23_130,ALK,1574,1997
ALK_PKc_E24_98.8,ALK,1028,1073
ALK_PKc_E25_93.7,ALK,1331,810
AMHR2_PKc_E10_137.5,AMHR2,1116,1013
AMHR2_PKc_E11_108.5,AMHR2,876,768
AMHR2_PKc_E6_231.14,AMHR2,414,301
AMHR2_PKc_E7_115.1,AMHR2,1199,906
AMHR2_PKc_E8_173.31,AMHR2,1487,1466
AMHR2_PKc_E9_148.14,AMHR2,348,405
ANKK1_PKc_E1_113.15,ANKK1,577,494
ANKK1_PKc_E1_113.4,ANKK1,1678,1605
ANKK1_PKc_E2_295.2,ANKK1,816,804
ANKK1_PKc_E3_152.22,ANKK1,606,607
ANKK1_PKc_E5_156.2,ANKK1,364,332
ANKK1_PKc_E6_41,ANKK1,845,769
ARAF_PKc_E10_152.4,ARAF,1121,1018
ARAF_PKc_E10_152.5,ARAF,548,853
ARAF_PKc_E11_177.1,ARAF,316,499
ARAF_PKc_E11_177.9,ARAF,477,457
ARAF_PKc_E12_47,ARAF,664,648
ARAF_PKc_E14_132.7,ARAF,1480,1678
ATM_PKc_E60_115.5,ATM,759,359
ATM_PKc_E60_115.6,ATM,401,252
ATM_PKc_E61_64,ATM,303,197
ATM_PKc_E61_64.1,ATM,583,314
ATM_PKc_E62_36,ATM,694,459
ATM_PKc_E62_36.1,ATM,565,318
ATR_PKc_E41_144.3,ATR,496,7
ATR_PKc_E42_151.4,ATR,1217,31
ATR_PKc_E43_157.9,ATR,1032,334
ATR_PKc_E44_154.6,ATR,479,11
ATR_PKc_E45_152,ATR,512,54
ATR_PKc_E46_46.1,ATR,885,204
AURKA_PKc_E10_175.19,AURKA,858,374
AURKA_PKc_E7_188.1,AURKA,721,13
AURKA_PKc_E7_188.1,AURKA,316,56
AURKA_PKc_E8_139,AURKA,570,190
AURKA_PKc_E8_139.6,AURKA,593,125
AURKA_PKc_E9_149.6,AURKA,734,992
AURKB_PKc_E5_191.1,AURKB,977,153
AURKB_PKc_E5_191.2,AURKB,432,33
AURKB_PKc_E6_139.5,AURKB,605,8
AURKB_PKc_E7_149.8,AURKB,1092,1070
AURKB_PKc_E8_175.4,AURKB,472,1
AURKB_PKc_E9_156.14,AURKB,887,31
AURKC_PKc_E3_191.2,AURKC,577,537
AURKC_PKc_E3_191.21,AURKC,283,403
AURKC_PKc_E4_139.1,AURKC,724,767
AURKC_PKc_E5_149.13,AURKC,144,316
AURKC_PKc_E6_175.14,AURKC,693,554
AURKC_PKc_E7_156.13,AURKC,702,668
AXL_PKc_E13_31,AXL,300,79
AXL_PKc_E14_78.7,AXL,547,462
AXL_PKc_E15_93.5,AXL,939,880
AXL_PKc_E16_122.7,AXL,631,426
AXL_PKc_E17_110.5,AXL,382,339
AXL_PKc_E18_160.14,AXL,1012,948
BCR_PKc_E1_1278.13,BCR,233,354
BCR_PKc_E1_1278.203,BCR,290,384
BCR_PKc_E1_1278.242,BCR,700,573
BCR_PKc_E1_1278.57,BCR,2,1
BCR_PKc_E1_1278.9,BCR,203,255
BCR_PKc_E1_1278.96,BCR,986,933
BLK_PKc_E10_77.4,BLK,1080,1020
BLK_PKc_E11_151.13,BLK,372,399
BLK_PKc_E12_132.4,BLK,656,811
BLK_PKc_E13_176.19,BLK,627,618
BLK_PKc_E8_76.7,BLK,372,496
BLK_PKc_E9_180.11,BLK,949,992
BMP2K_PKc_E1_40.1,BMP2K,859,1038
BMP2K_PKc_E2_119.7,BMP2K,435,394
BMP2K_PKc_E3_106.5,BMP2K,486,441
BMP2K_PKc_E4_143.5,BMP2K,1003,1016
BMP2K_PKc_E5_122.2,BMP2K,1000,975
BMP2K_PKc_E6_82.7,BMP2K,548,499
BMPR1A_PKc_E10_298,BMPR1A,268,301
BMPR1A_PKc_E10_298.1,BMPR1A,1203,640
BMPR1A_PKc_E11_176.18,BMPR1A,464,261
BMPR1A_PKc_E11_176.4,BMPR1A,1075,841
BMPR1A_PKc_E13_99.2,BMPR1A,306,365
BMPR1A_PKc_E13_99.3,BMPR1A,562,348
BMPR1B_PKc_E10_131.6,BMPR1B,1345,1077
BMPR1B_PKc_E11_123.7,BMPR1B,954,907
BMPR1B_PKc_E7_187.11,BMPR1B,639,552
BMPR1B_PKc_E7_187.4,BMPR1B,571,458
BMPR1B_PKc_E8_298.19,BMPR1B,1354,1432
BMPR1B_PKc_E9_176,BMPR1B,1534,1237
BMPR2_PKc_E10_137.6,BMPR2,989,657
BMPR2_PKc_E11_99.2,BMPR2,737,458
BMPR2_PKc_E6_231,BMPR2,779,602
BMPR2_PKc_E6_231.14,BMPR2,149,61
BMPR2_PKc_E7_115.4,BMPR2,1119,850
BMPR2_PKc_E7_115.6,BMPR2,863,674
BRAF_PKc_E12_85.2,BRAF,671,650
BRAF_PKc_E13_177.6,BRAF,635,563
BRAF_PKc_E14_47.1,BRAF,1459,1094
BRAF_PKc_E15_119.2,BRAF,1060,963
BRAF_PKc_E16_132.5,BRAF,691,646
BRAF_PKc_E17_135,BRAF,194,334
BRSK1_PKc_E1_43.4,BRSK1,730,564
BRSK1_PKc_E2_95.4,BRSK1,928,814
BRSK1_PKc_E3_86,BRSK1,547,617
BRSK1_PKc_E4_141.5,BRSK1,490,760
BRSK1_PKc_E5_117.2,BRSK1,503,512
BRSK1_PKc_E6_34,BRSK1,419,448
BRSK2_PKc_E1_43.7,BRSK2,392,323
BRSK2_PKc_E2_95.4,BRSK2,552,673
BRSK2_PKc_E3_86.2,BRSK2,453,339
BRSK2_PKc_E4_141.11,BRSK2,258,201
BRSK2_PKc_E5_117.9,BRSK2,579,468
BRSK2_PKc_E6_34.3,BRSK2,1115,698
BTK_PKc_E14_161.16,BTK,1076,1347
BTK_PKc_E15_217.14,BTK,1232,1013
BTK_PKc_E16_65,BTK,682,820
BTK_PKc_E17_119.1,BTK,949,643
BTK_PKc_E18_158.4,BTK,1416,1532
BTK_PKc_E19_48,BTK,129,101
BUB1_PKc_E20_108.7,BUB1,466,320
BUB1_PKc_E21_162.7,BUB1,447,62
BUB1_PKc_E22_158.8,BUB1,1570,651
BUB1_PKc_E23_172.2,BUB1,1002,221
BUB1_PKc_E24_107,BUB1,843,48
BUB1_PKc_E25_157.4,BUB1,992,36
BUB1B_PKc_E17_37,BUB1B,1168,577
BUB1B_PKc_E18_101.2,BUB1B,322,19
BUB1B_PKc_E19_150.8,BUB1B,542,35
BUB1B_PKc_E20_143.5,BUB1B,821,286
BUB1B_PKc_E21_172.12,BUB1B,1135,22
BUB1B_PKc_E22_107.9,BUB1B,1076,18
CAMK1_PKc_E2_38,CAMK1,675,672
CAMK1_PKc_E3_132.17,CAMK1,387,391
CAMK1_PKc_E4_75.9,CAMK1,1654,1634
CAMK1_PKc_E5_139,CAMK1,559,480
CAMK1_PKc_E6_127.1,CAMK1,1751,1672
CAMK1_PKc_E7_76.4,CAMK1,946,854
CAMK1D_PKc_E1_59,CAMK1D,1112,992
CAMK1D_PKc_E2_132.3,CAMK1D,203,156
CAMK1D_PKc_E3_75.1,CAMK1D,1271,1448
CAMK1D_PKc_E4_139.1,CAMK1D,484,500
CAMK1D_PKc_E5_127.8,CAMK1D,1313,1450
CAMK1D_PKc_E6_76.2,CAMK1D,874,1065
CAMK1G_PKc_E10_82,CAMK1G,1463,1587
CAMK1G_PKc_E10_82.8,CAMK1G,356,308
CAMK1G_PKc_E2_38,CAMK1G,575,829
CAMK1G_PKc_E2_38.1,CAMK1G,470,559
CAMK1G_PKc_E3_129.2,CAMK1G,839,850
CAMK1G_PKc_E3_129.8,CAMK1G,255,314
CAMK2A_PKc_E2_95,CAMK2A,369,394
CAMK2A_PKc_E3_60,CAMK2A,1046,964
CAMK2A_PKc_E4_55.3,CAMK2A,2317,2223
CAMK2A_PKc_E5_66.6,CAMK2A,667,605
CAMK2A_PKc_E6_73.3,CAMK2A,2038,2016
CAMK2A_PKc_E7_103.16,CAMK2A,1024,1111
CAMK2B_PKc_E1_32,CAMK2B,1015,713
CAMK2B_PKc_E2_95.3,CAMK2B,721,688
CAMK2B_PKc_E3_60.2,CAMK2B,862,743
CAMK2B_PKc_E4_55,CAMK2B,1197,1336
CAMK2B_PKc_E5_66.1,CAMK2B,568,669
CAMK2B_PKc_E6_73.6,CAMK2B,1440,1357
CAMK2D_PKc_E1_32,CAMK2D,731,639
CAMK2D_PKc_E2_95.4,CAMK2D,903,1291
CAMK2D_PKc_E3_60,CAMK2D,314,408
CAMK2D_PKc_E4_55.2,CAMK2D,1108,1180
CAMK2D_PKc_E5_66,CAMK2D,286,358
CAMK2D_PKc_E6_73.1,CAMK2D,553,724
CAMK2G_PKc_E1_32.1,CAMK2G,525,427
CAMK2G_PKc_E2_95.4,CAMK2G,678,692
CAMK2G_PKc_E3_60.2,CAMK2G,184,324
CAMK2G_PKc_E4_55.3,CAMK2G,1083,998
CAMK2G_PKc_E5_66.2,CAMK2G,447,384
CAMK2G_PKc_E6_73.1,CAMK2G,908,667
CAMK4_PKc_E1_38.2,CAMK4,718,884
CAMK4_PKc_E2_79.4,CAMK4,258,290
CAMK4_PKc_E3_63,CAMK4,630,775
CAMK4_PKc_E4_83.1,CAMK4,1072,1092
CAMK4_PKc_E5_73.1,CAMK4,703,717
CAMK4_PKc_E6_91.4,CAMK4,768,772
CAMKK1_PKc_E3_30,CAMKK1,982,881
CAMKK1_PKc_E4_54.2,CAMKK1,798,623
CAMKK1_PKc_E5_52,CAMKK1,480,443
CAMKK1_PKc_E6_134.7,CAMKK1,464,339
CAMKK1_PKc_E7_37,CAMKK1,845,888
CAMKK1_PKc_E9_89.4,CAMKK1,1637,1532
CAMKK2_PKc_E3_36,CAMKK2,1583,960
CAMKK2_PKc_E4_54,CAMKK2,1333,1221
CAMKK2_PKc_E5_52.1,CAMKK2,344,329
CAMKK2_PKc_E6_134.7,CAMKK2,209,249
CAMKK2_PKc_E7_37.3,CAMKK2,1,1
CAMKK2_PKc_E9_89.6,CAMKK2,580,405
CAMKV_PKc_E3_132.12,CAMKV,690,662
CAMKV_PKc_E3_132.8,CAMKV,474,501
CAMKV_PKc_E4_75.2,CAMKV,469,299
CAMKV_PKc_E4_75.5,CAMKV,1042,1083
CAMKV_PKc_E5_139.14,CAMKV,933,861
CAMKV_PKc_E6_121.12,CAMKV,1105,1178
CASK_PKc_E3_106,CASK,1039,1094
CASK_PKc_E3_106.2,CASK,595,752
CASK_PKc_E5_73,CASK,1325,1339
CASK_PKc_E5_73.1,CASK,247,267
CASK_PKc_E6_103.2,CASK,605,651
CASK_PKc_E8_123.4,CASK,972,982
CDC42BPA_PKc_E1_169.4,CDC42BPA,1150,1167
CDC42BPA_PKc_E2_92.2,CDC42BPA,345,430
CDC42BPA_PKc_E3_84,CDC42BPA,264,434
CDC42BPA_PKc_E4_96,CDC42BPA,674,761
CDC42BPA_PKc_E5_149.8,CDC42BPA,887,1014
CDC42BPA_PKc_E6_94.3,CDC42BPA,1034,1307
CDC42BPB_PKc_E1_169.12,CDC42BPB,766,713
CDC42BPB_PKc_E2_92.2,CDC42BPB,941,1061
CDC42BPB_PKc_E3_84.2,CDC42BPB,1029,839
CDC42BPB_PKc_E4_96.3,CDC42BPB,525,650
CDC42BPB_PKc_E5_149.5,CDC42BPB,238,203
CDC42BPB_PKc_E6_94.2,CDC42BPB,454,475
CDC42BPG_PKc_E2_48.1,CDC42BPG,423,518
CDC42BPG_PKc_E3_84.3,CDC42BPG,995,987
CDC42BPG_PKc_E4_96.3,CDC42BPG,303,261
CDC42BPG_PKc_E5_149.5,CDC42BPG,507,278
CDC42BPG_PKc_E6_94.3,CDC42BPG,862,630
CDC42BPG_PKc_E7_201.27,CDC42BPG,164,106
CDC7_PKc_E3_34,CDC7,483,68
CDC7_PKc_E4_136.1,CDC7,759,34
CDC7_PKc_E5_94.1,CDC7,712,82
CDC7_PKc_E6_143.7,CDC7,251,8
CDC7_PKc_E7_250.6,CDC7,858,46
CDC7_PKc_E8_96.2,CDC7,345,284
CDK1_PKc_E2_37.1,CDK1,1130,995
CDK1_PKc_E4_124.1,CDK1,850,40
CDK1_PKc_E6_164,CDK1,449,16
CDK10_PKc_E2_70.1,CDK10,492,330
CDK10_PKc_E3_72.5,CDK10,493,368
CDK10_PKc_E4_103.11,CDK10,1267,901
CDK10_PKc_E5_82.4,CDK10,506,340
CDK10_PKc_E6_68.2,CDK10,171,111
CDK10_PKc_E7_53.1,CDK10,871,686
CDK11A_PKc_E13_122.13,CDK11A,805,787
CDK11A_PKc_E13_122.15,CDK11A,608,333
CDK11A_PKc_E14_106.1,CDK11A,439,337
CDK11A_PKc_E15_122.4,CDK11A,618,450
CDK11A_PKc_E16_108.16,CDK11A,581,8
CDK11A_PKc_E18_149.14,CDK11A,1450,1966
CDK11B_PKc_E13_122.7,CDK11B,361,274
CDK11B_PKc_E14_106.1,CDK11B,912,215
CDK11B_PKc_E15_122.1,CDK11B,809,392
CDK11B_PKc_E16_108.16,CDK11B,224,38
CDK11B_PKc_E17_117.11,CDK11B,1217,1110
CDK11B_PKc_E18_149.2,CDK11B,667,604
CDK12_PKc_E4_94.7,CDK12,879,48
CDK12_PKc_E5_171.8,CDK12,535,492
CDK12_PKc_E6_190.11,CDK12,351,227
CDK12_PKc_E7_57,CDK12,1398,589
CDK12_PKc_E8_102.1,CDK12,639,16
CDK12_PKc_E9_78.1,CDK12,764,544
CDK13_PKc_E4_94.2,CDK13,920,389
CDK13_PKc_E5_171,CDK13,281,252
CDK13_PKc_E6_190.2,CDK13,1036,343
CDK13_PKc_E7_57,CDK13,741,252
CDK13_PKc_E8_102.1,CDK13,1229,566
CDK13_PKc_E9_78.2,CDK13,668,227
CDK14_PKc_E4_80.5,CDK14,1011,1085
CDK14_PKc_E5_80.5,CDK14,844,940
CDK14_PKc_E6_95.1,CDK14,1203,912
CDK14_PKc_E7_63.2,CDK14,1523,1697
CDK14_PKc_E8_124.5,CDK14,231,245
CDK14_PKc_E9_121.7,CDK14,711,683
CDK15_PKc_E3_65.5,CDK15,730,630
CDK15_PKc_E4_80.2,CDK15,1829,2126
CDK15_PKc_E5_95.2,CDK15,455,377
CDK15_PKc_E6_63.4,CDK15,652,478
CDK15_PKc_E7_124.3,CDK15,512,765
CDK15_PKc_E8_121,CDK15,766,745
CDK16_PKc_E10_121.7,CDK16,436,464
CDK16_PKc_E5_36,CDK16,936,1008
CDK16_PKc_E6_115.13,CDK16,596,556
CDK16_PKc_E7_95.4,CDK16,1349,1647
CDK16_PKc_E8_63.4,CDK16,666,749
CDK16_PKc_E9_124.3,CDK16,1176,1012
CDK17_PKc_E10_124.1,CDK17,1230,1436
CDK17_PKc_E11_121.4,CDK17,1116,1265
CDK17_PKc_E6_48.2,CDK17,1100,1082
CDK17_PKc_E7_115.3,CDK17,619,820
CDK17_PKc_E8_95.2,CDK17,702,632
CDK17_PKc_E9_63.2,CDK17,809,701
CDK18_PKc_E10_121.12,CDK18,849,803
CDK18_PKc_E5_45,CDK18,317,300
CDK18_PKc_E6_115.5,CDK18,97,58
CDK18_PKc_E7_95.9,CDK18,647,846
CDK18_PKc_E8_63.3,CDK18,645,536
CDK18_PKc_E9_124.19,CDK18,1095,634
CDK2_PKc_E1_116.9,CDK2,156,56
CDK2_PKc_E2_78.3,CDK2,791,215
CDK2_PKc_E3_121.2,CDK2,423,188
CDK2_PKc_E4_171.1,CDK2,999,204
CDK2_PKc_E5_102.12,CDK2,593,250
CDK2_PKc_E6_204.3,CDK2,597,591
CDK20_PKc_E1_75.1,CDK20,387,504
CDK20_PKc_E2_114.2,CDK20,615,446
CDK20_PKc_E3_189.5,CDK20,399,398
CDK20_PKc_E4_122.2,CDK20,819,953
CDK20_PKc_E5_63.6,CDK20,910,942
CDK20_PKc_E6_124.5,CDK20,1029,1009
CDK3_PKc_E2_116.4,CDK3,1140,577
CDK3_PKc_E3_78.3,CDK3,933,693
CDK3_PKc_E4_121,CDK3,860,955
CDK3_PKc_E5_171.11,CDK3,707,665
CDK3_PKc_E6_102,CDK3,714,675
CDK3_PKc_E7_204.1,CDK3,953,1033
CDK4_PKc_E2_206.14,CDK4,1025,407
CDK4_PKc_E3_136.21,CDK4,579,355
CDK4_PKc_E4_168.12,CDK4,1309,655
CDK4_PKc_E5_110.4,CDK4,961,482
CDK4_PKc_E6_51,CDK4,489,162
CDK4_PKc_E7_136.28,CDK4,297,181
CDK5_PKc_E1_37.2,CDK5,606,780
CDK5_PKc_E2_89.3,CDK5,694,996
CDK5_PKc_E3_68,CDK5,193,159
CDK5_PKc_E5_57.1,CDK5,1225,1189
CDK5_PKc_E6_96.4,CDK5,1001,1040
CDK5_PKc_E7_75.5,CDK5,482,480
CDK6_PKc_E2_203.31,CDK6,680,733
CDK6_PKc_E3_136.2,CDK6,421,311
CDK6_PKc_E4_168.11,CDK6,2014,1987
CDK6_PKc_E5_110.8,CDK6,185,259
CDK6_PKc_E6_51.2,CDK6,692,666
CDK6_PKc_E7_136.3,CDK6,1087,1103
CDK7_PKc_E1_48,CDK7,862,183
CDK7_PKc_E2_60.3,CDK7,1043,31
CDK7_PKc_E4_68.3,CDK7,749,56
CDK7_PKc_E5_69.2,CDK7,406,104
CDK7_PKc_E6_111.3,CDK7,758,3
CDK7_PKc_E7_119.11,CDK7,427,44
CDK9_PKc_E1_77.1,CDK9,1079,83
CDK9_PKc_E1_77.4,CDK9,1051,285
CDK9_PKc_E4_167.13,CDK9,1789,282
CDK9_PKc_E6_149.13,CDK9,798,18
CDK9_PKc_E7_192.9,CDK9,777,728
CDKL1_PKc_E1_165.12,CDKL1,739,638
CDKL1_PKc_E2_122,CDKL1,645,619
CDKL1_PKc_E3_73.1,CDKL1,649,621
CDKL1_PKc_E4_91.3,CDKL1,1050,1269
CDKL1_PKc_E5_201.9,CDKL1,1213,1007
CDKL1_PKc_E6_83.1,CDKL1,472,676
CDKL2_PKc_E2_165.1,CDKL2,749,672
CDKL2_PKc_E3_195.7,CDKL2,874,696
CDKL2_PKc_E4_179.16,CDKL2,559,431
CDKL2_PKc_E5_113.6,CDKL2,501,389
CDKL2_PKc_E6_140,CDKL2,611,621
CDKL2_PKc_E7_66.4,CDKL2,448,375
CDKL3_PKc_E2_162.7,CDKL3,990,984
CDKL3_PKc_E3_195.2,CDKL3,978,877
CDKL3_PKc_E4_179.6,CDKL3,536,585
CDKL3_PKc_E5_113.2,CDKL3,421,289
CDKL3_PKc_E6_140.5,CDKL3,994,1031
CDKL3_PKc_E7_66.1,CDKL3,671,594
CDKL4_PKc_E1_165.9,CDKL4,1010,640
CDKL4_PKc_E2_122,CDKL4,684,612
CDKL4_PKc_E3_73,CDKL4,1196,1163
CDKL4_PKc_E4_91.2,CDKL4,410,442
CDKL4_PKc_E5_198.19,CDKL4,839,632
CDKL4_PKc_E6_83.2,CDKL4,359,260
CDKL5_PKc_E2_34,CDKL5,1487,1828
CDKL5_PKc_E3_35,CDKL5,2049,2122
CDKL5_PKc_E4_46,CDKL5,678,875
CDKL5_PKc_E5_137.5,CDKL5,1056,1152
CDKL5_PKc_E6_121.2,CDKL5,1322,1439
CDKL5_PKc_E7_60,CDKL5,1330,1527
CHEK1_PKc_E2_65.4,CHEK1,822,32
CHEK1_PKc_E3_224.1,CHEK1,1177,60
CHEK1_PKc_E4_65.6,CHEK1,844,4
CHEK1_PKc_E5_70.1,CHEK1,435,9
CHEK1_PKc_E6_189.6,CHEK1,742,76
CHEK1_PKc_E7_105.1,CHEK1,1623,68
CHEK2_PKc_E10_87.3,CHEK2,513,515
CHEK2_PKc_E5_47.1,CHEK2,761,823
CHEK2_PKc_E6_109.1,CHEK2,360,331
CHEK2_PKc_E7_54.1,CHEK2,359,595
CHEK2_PKc_E8_62.1,CHEK2,607,673
CHEK2_PKc_E9_100.2,CHEK2,254,181
CHUK_PKc_E1_63.6,CHUK,1002,732
CHUK_PKc_E2_95.2,CHUK,1109,1460
CHUK_PKc_E3_115,CHUK,540,513
CHUK_PKc_E4_70.2,CHUK,371,408
CHUK_PKc_E5_89,CHUK,384,511
CHUK_PKc_E6_90.5,CHUK,549,568
CIT_PKc_E4_132.1,CIT,431,428
CIT_PKc_E5_102.1,CIT,948,650
CIT_PKc_E6_143.9,CIT,328,369
CIT_PKc_E7_94,CIT,1180,950
CIT_PKc_E8_204,CIT,962,896
CIT_PKc_E9_154.9,CIT,582,587
CLK1_PKc_E4_40,CLK1,379,243
CLK1_PKc_E5_67,CLK1,531,514
CLK1_PKc_E6_117.1,CLK1,323,334
CLK1_PKc_E7_167.7,CLK1,887,799
CLK1_PKc_E8_95,CLK1,1105,1160
CLK1_PKc_E9_130.1,CLK1,1820,1575
