sgRNA,Gene,HCT116-Ts13.initial,HCT116-Ts13.final
TMPRSS11B_1251.35,TMPRSS11B,1052,7278
ZNF212_E5_66.0,ZNF212,756,4851
PBX1_E5_136.9,PBX1,620,5763
NFATC3_E4_200.2,NFATC3,661,4804
EN1_E2_180.21,EN1,376,3565
PBRM1_Bah11301248_E1_4749.15,PBRM1,399,3357
CUL3_2325.14,CUL3,357,1933
NR2E3_E3_104.11,NR2E3,203,1878
ZIC5_E1_118.17,ZIC5,297,2298
HSFX2_E1_273.12,HSFX2,718,4845
DPP8_2697.102,DPP8,491,3034
PRSS36_2568.161,PRSS36,336,3996
neg40,neg40,1570,15925
KCNA6_BTB43134_E1_1590.318,KCNA6,99,843
KDM4A_tudor897953_E1_3195.183,KDM4A,102,777
MEP1A_2241.272,MEP1A,237,1236
ADNP_E6_126.5,ADNP,674,4696
ZNF639_E7_747.3,ZNF639,450,3499
LONP2_2559.228,LONP2,329,2252
ZBTB20_BTB94196_E1_2226.15,ZBTB20,292,1947
HSF1_E2_109.1,HSF1,325,787
ZNF563_E4_579.27,ZNF563,288,1849
SPOPL_BTB190297_E1_1179.38,SPOPL,314,2921
SEC11A_558.29,SEC11A,275,2087
ATF2_E12_133.0,ATF2,614,5212
KDM4B_e9_96.5,KDM4B,139,1232
ESX1_E2_89.2,ESX1,225,2088
ZNF354A_E5_1209.10,ZNF354A,371,2414
LACTB_1644.113,LACTB,235,1863
POU4F3_E2_177.2,POU4F3,361,2404
TRIM59_1212.9,TRIM59,586,3124
USP16_2472.82,USP16,128,996
SKP2_1275.27,SKP2,404,3157
ZNF382_E5_765.86,ZNF382,142,1033
NHLRC1_1188.6,NHLRC1,182,1303
LMX1B_E4_84.10,LMX1B,427,3367
UBE2G1_513.45,UBE2G1,188,1613
ADAMTS14_3681.674,ADAMTS14,533,3622
KDM4C_e8_96.5,KDM4C,711,5635
NPEPL1_1572.48,NPEPL1,77,795
AMBRA1_3906.692,AMBRA1,311,5355
ZNF317_E7_1077.34,ZNF317,235,1479
MPND_1416.239,MPND,171,2547
ZNF541_E12_78.2,ZNF541,535,4006
RFX7_E4_101.10,RFX7,143,1117
KDM5A_e12_163.8,KDM5A,387,1965
ZNF302_E6_495.11,ZNF302,670,3757
ZCWPW1_CW256303_E1_1947.6,ZCWPW1,195,1448
NR1D1_E5_248.53,NR1D1,643,4220
NKX6_1_E2_135.11,NKX6,557,4307
ZNF219_E5_38.1,ZNF219,665,4294
SUV39H1_Chromo_E3_108.1,SUV39H1,95,856
ENDOU_1233.68,ENDOU,470,4093
RPS6KA1_PKc2_E17_159,RPS6KA1,173,1133
SHPRH_H_e27_179.16,SHPRH,560,4085
F7_1401.96,F7,259,1146
ASCL2_E2_126.8,ASCL2,176,1623
neg18,neg18,1354,12984
HKR1_E6_1070.123,HKR1,554,3967
FBXL12_981.10,FBXL12,130,384
ANKIB1_3270.274,ANKIB1,443,3119
ASB6_1266.113,ASB6,108,1169
KLHL20_BTB59165_E1_1830.197,KLHL20,242,1531
ZNF25_E6_930.61,ZNF25,790,5933
TMPRSS4_1314.63,TMPRSS4,352,1848
MLL5_e13_110.2,MLL5,743,6221
NFKB1_E5_99.3,NFKB1,515,4515
ZNF586_E3_495.6,ZNF586,478,4219
PLAG1_E4_110.2,PLAG1,1548,10258
ZMYND8_BD_e7_88.6,ZMYND8,357,3954
FBXO40_6,FBXO40,264,2372
FOXQ1_E1_237.3,FOXQ1,125,755
ZNF197_E6_1911.23,ZNF197,668,4550
TPSD1_729.87,TPSD1,310,1636
ZNF580_E1_237.34,ZNF580,440,1795
ZNF10_E5_666.53,ZNF10,329,3578
ZNF358_E2_741.32,ZNF358,222,1823
RCHY1_720.40,RCHY1,230,2906
ZNF519_E3_1131.9,ZNF519,561,4788
TRIM63_1062.50,TRIM63,293,2807
FBXO34_2136.164,FBXO34,478,2729
PITX3_E3_135.9,PITX3,164,1401
JADE2_Phd_E4_158.2,JADE2,106,536
KLHL9_BTB40146_E1_1854.22,KLHL9,434,2516
TRIM13_1224.0,TRIM13,366,2716
ZNF566_E5_570.15,ZNF566,714,5887
ZNF567_E6_1281.4,ZNF567,942,6919
ASH1L_Phd_E20_63.0,ASH1L,188,1027
LEUTX_E2_73.1,LEUTX,932,7852
ZNF628_E3_1746.168,ZNF628,132,1223
NKX2_6_E2_177.17,NKX2,105,912
OVCH2_1698.2,OVCH2,570,2511
TAOK1_PKc_E6_97.2,TAOK1,115,864
MMP27_1542.151,MMP27,516,2271
POU6F2_E11_174.14,POU6F2,360,2789
ZNF660_E3_825.64,ZNF660,214,2784
RING1_1221.226,RING1,368,3064
CAPN7_2442.27,CAPN7,427,2638
ZIM3_E5_492.25,ZIM3,568,3409
ZNF552_E3_243.17,ZNF552,531,3574
FOXR1_E5_151.19,FOXR1,146,1270
ZNF585B_E5_1839.62,ZNF585B,472,4283
ACY1_1227.116,ACY1,549,4399
MYO3B_PKc_E6_77.5,MYO3B,100,1116
ALK_PKc_E25_93.7,ALK,286,1545
KLKB1_1917.7,KLKB1,269,1963
UBR7_Phd_E5_54.0,UBR7,293,2342
NFXL1_2736.146,NFXL1,201,2087
ZSCAN16_E4_324.6,ZSCAN16,463,2622
DMRTA1_E1_141.18,DMRTA1,440,4472
RHOXF2B_E4_42.1,RHOXF2B,1157,6948
