DepMap_ID,Aneuploidy score,Ploidy,Genome doublings
ACH-001021,9,2.29,0
ACH-001023,18,3.31,1
ACH-001024,19,3.49,1
ACH-001036,17,1.81,0
ACH-001037,8,2.08,0
ACH-001039,19,3.34,1
ACH-001042,9,2.23,0
ACH-001043,26,2.91,1
ACH-001044,25,2.72,1
ACH-001045,24,2.71,1
ACH-001047,5,1.93,0
ACH-001048,17,1.67,0
ACH-001049,10,2.11,0
ACH-001061,0,2.02,0
ACH-001063,14,3.21,1
ACH-001064,15,1.72,0
ACH-001065,23,3,1
ACH-001067,2,2.03,0
ACH-001072,19,2.88,1
ACH-001075,7,2.1,0
ACH-001079,16,1.77,0
ACH-001088,15,2.36,1
ACH-001089,25,2.76,1
ACH-001090,19,3.12,1
ACH-001091,1,2.03,0
ACH-001092,17,2.42,1
ACH-001093,0,2,0
ACH-001094,6,2.22,1
ACH-001098,18,2.8,1
ACH-001101,26,2.53,1
ACH-001106,0,2,0
ACH-001113,28,7.44,2
ACH-001121,22,3.19,1
ACH-001125,19,1.62,0
ACH-001126,9,1.93,0
ACH-001127,15,4.2,1
ACH-001129,8,2.09,0
ACH-001130,4,2,0
ACH-001138,23,3,1
ACH-001145,10,2.96,1
ACH-001146,1,2.07,0
ACH-001150,13,7.37,2
ACH-001162,7,2.01,0
ACH-001171,11,1.75,0
ACH-001175,7,1.83,0
ACH-001183,9,2.02,0
ACH-001188,4,2.12,0
ACH-001189,26,4.93,2
ACH-001190,12,2.18,0
ACH-001194,15,2.04,0
ACH-001198,16,2.84,1
ACH-001203,8,2.1,0
ACH-001205,3,2.12,0
ACH-001214,16,2.74,1
ACH-001224,20,2.56,1
ACH-001225,25,4.08,2
ACH-001230,9,2.13,0
ACH-001233,20,2.44,1
ACH-001234,16,1.8,0
ACH-001239,10,1.94,0
ACH-001249,16,3.42,1
ACH-001306,23,3.19,1
ACH-001307,24,2.83,1
ACH-001318,20,2.58,1
ACH-001321,11,1.93,0
