DepMap_ID,Aneuploidy score,Ploidy,Genome doublings
ACH-000237,22,2.7,1
ACH-000238,21,3.12,1
ACH-000239,28,2.9,1
ACH-000240,0,2,0
ACH-000241,4,2.07,0
ACH-000242,19,3.8,1
ACH-000243,24,3.03,1
ACH-000244,8,1.91,0
ACH-000245,5,2.14,0
ACH-000247,10,2.35,0
ACH-000248,31,3.75,1
ACH-000249,9,2.02,0
ACH-000250,11,1.91,0
ACH-000252,16,3.11,1
ACH-000254,21,3.19,1
ACH-000255,25,2.6,1
ACH-000256,29,3.96,2
ACH-000257,10,1.78,0
ACH-000258,4,2.02,0
ACH-000259,10,2.08,0
ACH-000260,10,2.03,0
ACH-000261,10,2.37,1
ACH-000262,23,3.01,1
ACH-000263,5,1.97,0
ACH-000264,19,2.71,1
ACH-000265,19,3.19,1
ACH-000266,18,3.01,1
ACH-000267,10,1.99,0
ACH-000268,18,3.24,1
ACH-000269,6,1.9,0
ACH-000270,16,2.88,1
ACH-000271,3,2.04,0
ACH-000272,6,1.88,0
ACH-000274,10,2.14,0
ACH-000276,24,1.61,0
ACH-000277,8,2.07,0
ACH-000278,17,1.82,0
ACH-000279,19,3.3,1
ACH-000280,22,3.11,1
ACH-000281,16,1.68,0
ACH-000282,21,2.82,1
ACH-000283,24,2.79,1
ACH-000284,0,2,0
ACH-000285,14,2.33,0
ACH-000287,1,1.98,0
ACH-000288,10,1.34,0
ACH-000289,7,2.1,0
ACH-000290,10,2.04,0
ACH-000291,13,1.93,0
ACH-000292,25,2.59,1
ACH-000293,22,2.7,1
ACH-000294,20,1.62,0
ACH-000295,14,1.93,0
ACH-000296,16,2.85,1
ACH-000297,22,2.93,1
ACH-000298,10,1.9,0
ACH-000300,16,2.46,1
ACH-000301,18,3.11,1
ACH-000302,31,3.9,2
ACH-000303,17,4.22,2
ACH-000304,5,2.03,0
ACH-000305,28,3.66,2
ACH-000306,0,2,0
ACH-000307,16,1.72,0
ACH-000308,21,2.88,1
ACH-000309,27,4,2
ACH-000310,8,2.21,0
ACH-000311,20,2.49,1
ACH-000312,7,1.96,0
ACH-000313,5,1.99,0
ACH-000315,1,2.07,0
ACH-000316,7,1.93,0
ACH-000317,11,1.89,0
ACH-000318,29,2.78,1
ACH-000319,12,2.33,1
ACH-000320,24,2.85,1
ACH-000321,10,2.28,0
ACH-000322,16,2.91,1
ACH-000323,13,1.33,0
ACH-000324,27,2.82,1
ACH-000325,13,3.27,1
ACH-000326,6,1.95,0
ACH-000327,19,2.73,1
ACH-000329,4,2.01,0
ACH-000330,26,2.93,1
ACH-000331,7,1.89,0
ACH-000332,27,3.2,1
ACH-000333,11,2.05,0
ACH-000334,21,3.13,1
ACH-000335,6,1.93,0
ACH-000336,4,2.15,0
ACH-000338,20,3.44,1
ACH-000340,0,2,0
ACH-000341,7,2.09,0
ACH-000342,13,1.92,0
ACH-000343,18,2.42,1
ACH-000344,24,1.5,0
ACH-000345,2,1.99,0
ACH-000346,3,2.07,0
ACH-000347,26,4.13,2
ACH-000348,29,2.53,1
ACH-000349,18,1.75,0
ACH-000350,17,2.4,1
ACH-000351,19,3.15,1
ACH-000352,15,1.92,0
ACH-000353,27,2.77,1
ACH-000354,24,2.91,1
ACH-000355,18,2.7,1
ACH-000356,17,1.85,0
ACH-000357,10,1.86,0
ACH-000358,16,1.64,0
ACH-000359,21,3.22,1
ACH-000360,9,2.31,0
ACH-000361,19,2.89,1
ACH-000362,8,2.27,0
ACH-000363,9,2,0
ACH-000364,16,3.09,1
ACH-000365,9,2.19,0
ACH-000366,7,2.04,0
ACH-000367,5,1.96,0
ACH-000368,5,2,0
ACH-000369,7,1.83,0
ACH-000370,26,3.35,1
ACH-000371,7,2.11,0
ACH-000372,7,1.97,0
ACH-000373,6,1.97,0
ACH-000374,29,3.69,2
ACH-000375,2,2.09,0
ACH-000376,14,3.13,1
ACH-000377,23,2.89,1
ACH-000378,16,3.31,2
ACH-000379,29,2.51,1
ACH-000380,11,1.87,0
ACH-000381,19,2.85,1
ACH-000382,12,1.78,0
ACH-000383,27,2.54,1
ACH-000384,6,1.95,0
ACH-000386,6,2.02,0
ACH-000387,10,2.45,0
ACH-000388,5,2.18,0
ACH-000389,16,3.18,1
ACH-000390,23,1.82,0
ACH-000391,10,2.24,0
ACH-000392,24,2.99,1
ACH-000393,18,2.7,1
ACH-000394,23,3.09,1
ACH-000395,23,2.6,1
ACH-000396,8,1.95,0
ACH-000397,29,3.4,1
ACH-000398,8,2.16,0
ACH-000399,11,1.79,0
ACH-000400,31,3.68,1
ACH-000401,27,2.81,1
ACH-000402,2,2.05,0
ACH-000403,25,3.1,1
ACH-000404,12,1.93,0
ACH-000405,5,2,0
ACH-000406,22,2.6,1
ACH-000407,29,5.09,2
ACH-000408,24,2.98,1
ACH-000409,31,2.89,1
ACH-000411,5,1.99,0
ACH-000412,12,2.09,0
ACH-000413,0,2,0
ACH-000414,7,2.19,0
ACH-000415,23,2.97,1
ACH-000416,9,2.36,1
ACH-000417,28,2.52,1
ACH-000418,2,2.06,0
ACH-000419,12,1.88,0
ACH-000420,17,2.49,1
ACH-000421,13,1.89,0
ACH-000422,22,3.04,1
ACH-000423,20,4.05,2
ACH-000424,3,2.05,0
ACH-000425,9,1.81,0
ACH-000426,6,1.86,0
ACH-000427,15,1.86,0
ACH-000429,12,1.99,0
ACH-000430,17,2.5,1
ACH-000431,17,2.47,1
ACH-000432,3,2.14,0
ACH-000433,23,3.28,1
ACH-000434,9,2.08,0
ACH-000435,13,1.9,0
ACH-000437,27,3.78,2
ACH-000438,11,2.35,1
ACH-000439,10,2.08,0
ACH-000440,0,2.07,0
ACH-000441,13,2.39,1
ACH-000442,22,2.78,1
ACH-000443,17,2.02,0
ACH-000444,24,2.71,1
ACH-000445,11,1.2,0
ACH-000446,12,2.31,1
ACH-000447,24,3.92,1
ACH-000448,17,3.02,1
ACH-000449,2,1.93,0
ACH-000450,18,3.28,1
ACH-000451,30,2.68,1
ACH-000452,24,2.7,1
ACH-000453,11,1.91,0
