STUDY_ID	SAMPLE_ID	UBE2H
ov_tcga_pan_can_atlas_2018	TCGA-13-0730-01	911.7459
ov_tcga_pan_can_atlas_2018	TCGA-13-0751-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0755-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0757-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0758-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0760-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0761-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0762-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0764-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0765-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0766-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0768-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0791-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0792-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0793-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0794-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0795-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0797-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0799-01	1744.4809
ov_tcga_pan_can_atlas_2018	TCGA-13-0800-01	2095.3942
ov_tcga_pan_can_atlas_2018	TCGA-13-0801-01	1446.2406
ov_tcga_pan_can_atlas_2018	TCGA-13-0802-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0803-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0804-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0805-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0807-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0883-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0884-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0885-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0886-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0887-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0888-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0889-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0890-01	1507.3343
ov_tcga_pan_can_atlas_2018	TCGA-13-0891-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0893-01	2611.3542
ov_tcga_pan_can_atlas_2018	TCGA-13-0894-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0897-01	2729.6908
ov_tcga_pan_can_atlas_2018	TCGA-13-0899-01	1898.7855
ov_tcga_pan_can_atlas_2018	TCGA-13-0900-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0901-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0903-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0904-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0905-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0906-01	NA
