MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1915298	Aen	apoptosis enhancing nuclease	7		RNA processing			IBA	PTN000300925 Q580Z1 S000003508 S000004097 S000005440 	J:161428 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		regulation of RNA splicing			IBA	MGI:1202294 P51816 PTN002575678 	J:161428 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		regulation of RNA splicing			IDA		J:157426 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		regulation of RNA splicing			IEA	ENSP00000359489 P51816 	J:342605 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		regulation of RNA splicing			ISO	P51816 	J:164563 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:2446630	Ago1	argonaute RISC catalytic subunit 1	4		miRNA processing			IEA	ENSP00000362300 Q9UL18 	J:342605 	
MGI:2446630	Ago1	argonaute RISC catalytic subunit 1	4		miRNA processing			ISO	Q9UL18 	J:164563 	
MGI:2446630	Ago1	argonaute RISC catalytic subunit 1	4		pre-miRNA processing			IBA	MGI:2446632 PTN000527278 Q9H9G7 Q9HCK5 Q9UKV8 Q9UL18 	J:161428 	
MGI:2446630	Ago1	argonaute RISC catalytic subunit 1	4		pre-miRNA processing			IEA	ENSP00000362300 Q9UL18 	J:342605 	
MGI:2446630	Ago1	argonaute RISC catalytic subunit 1	4		pre-miRNA processing			ISO	Q9UL18 	J:164563 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		miRNA processing			IEA	ENSP00000220592 Q9UKV8 	J:342605 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		miRNA processing			IMP	MGI:3056454 	J:161968 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		miRNA processing			ISO	CPX-1072 	J:342607 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		miRNA processing			ISO	Q9UKV8 	J:164563 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		pre-miRNA processing			IBA	MGI:2446632 PTN000527278 Q9H9G7 Q9HCK5 Q9UKV8 Q9UL18 	J:161428 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		pre-miRNA processing			IDA		J:217997 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		pre-miRNA processing			IEA	ENSP00000220592 Q9UKV8 	J:342605 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		pre-miRNA processing			IEA	UR000107560 	J:342612 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		pre-miRNA processing			ISO	CPX-1072 	J:342607 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		pre-miRNA processing			ISO	Q9UKV8 	J:164563 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		pre-miRNA processing			ISS	Q9UKV8 	J:342587 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		siRNA processing			IEA	ENSP00000220592 Q9UKV8 	J:342605 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		siRNA processing			ISO	CPX-134 	J:342607 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		siRNA processing			ISO	Q9UKV8 	J:164563 	
MGI:2446634	Ago3	argonaute RISC catalytic subunit 3	4		miRNA processing			IEA	ENSP00000362287 Q9H9G7 	J:342605 	
