MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:105037	Ddx5	DEAD box helicase 5	11		alternative mRNA splicing, via spliceosome			IEA	ARBA00089954 	J:342609 	
MGI:105037	Ddx5	DEAD box helicase 5	11		alternative mRNA splicing, via spliceosome			IMP		J:240379 	
MGI:105037	Ddx5	DEAD box helicase 5	11		alternative mRNA splicing, via spliceosome			ISO	P17844 	J:164563 	
MGI:105037	Ddx5	DEAD box helicase 5	11		alternative mRNA splicing, via spliceosome			ISS	P17844 	J:342587 	
MGI:105037	Ddx5	DEAD box helicase 5	11		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:105037	Ddx5	DEAD box helicase 5	11		primary miRNA processing			ISO	P17844 	J:164563 	
MGI:105037	Ddx5	DEAD box helicase 5	11		regulation of alternative mRNA splicing, via spliceosome			IDA		J:238450 	
MGI:105037	Ddx5	DEAD box helicase 5	11		regulation of alternative mRNA splicing, via spliceosome			IEA	ARBA00089956 	J:342609 	
MGI:105037	Ddx5	DEAD box helicase 5	11		regulation of alternative mRNA splicing, via spliceosome			ISO	P17844 	J:164563 	
MGI:105037	Ddx5	DEAD box helicase 5	11		regulation of alternative mRNA splicing, via spliceosome			ISS	P17844 	J:342587 	
MGI:105037	Ddx5	DEAD box helicase 5	11		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1924841	Ddx10	DEAD box helicase 10	9		rRNA processing			IBA	PTN002775436 S000003570 	J:161428 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		alternative mRNA splicing, via spliceosome			IBA	MGI:105037 MGI:1914290 P17844 PTN002773963 Q92841 	J:161428 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		alternative mRNA splicing, via spliceosome			IEA	ARBA00089954 	J:342609 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		alternative mRNA splicing, via spliceosome			IMP		J:240379 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		alternative mRNA splicing, via spliceosome			ISO	Q92841 	J:164563 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		alternative mRNA splicing, via spliceosome			ISS	Q92841 	J:342587 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		regulation of alternative mRNA splicing, via spliceosome			IDA		J:238450 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		regulation of alternative mRNA splicing, via spliceosome			IEA	ARBA00089956 	J:342609 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		regulation of alternative mRNA splicing, via spliceosome			ISO	Q92841 	J:164563 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1914290	Ddx17	DEAD box helicase 17	15		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:1914192	Ddx18	DEAD box helicase 18	1		maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IBA	PTN002775131 S000004903 	J:161428 	
MGI:1858415	Ddx20	DEAD box helicase 20	3		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1858415	Ddx20	DEAD box helicase 20	3		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1858415	Ddx20	DEAD box helicase 20	3		spliceosomal snRNP assembly			IBA	PTN002777080 Q9UHI6 	J:161428 	
MGI:1858415	Ddx20	DEAD box helicase 20	3		spliceosomal snRNP assembly			IEA	ENSP00000358716 Q9UHI6 	J:342605 	
MGI:1858415	Ddx20	DEAD box helicase 20	3		spliceosomal snRNP assembly			ISO	Q9UHI6 	J:164563 	
MGI:1858415	Ddx20	DEAD box helicase 20	3		spliceosomal snRNP assembly			ISS	Q9UHI6 	J:342587 	
MGI:1860494	Ddx21	DExD box helicase 21	10		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:1921601	Ddx23	DEAD box helicase 23	15		mRNA splicing, via spliceosome			IBA	PTN002774495 S000002651 	J:161428 	
MGI:2385884	Ddx27	DEAD box helicase 27	2		rRNA processing			IEA	ARBA00028153 	J:342609 	
MGI:2385884	Ddx27	DEAD box helicase 27	2		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:2385884	Ddx27	DEAD box helicase 27	2		rRNA processing			ISO	Q96GQ7 	J:164563 	
MGI:2385884	Ddx27	DEAD box helicase 27	2		rRNA processing			ISS	Q96GQ7 	J:342587 	
MGI:1915528	Ddx39a	DEAD box helicase 39a	8		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1915528	Ddx39a	DEAD box helicase 39a	8		mRNA splicing, via spliceosome			IBA	O00148 PTN002776405 Q13838 S000002242 	J:161428 	
MGI:1915528	Ddx39a	DEAD box helicase 39a	8		mRNA splicing, via spliceosome			IEA	ENSP00000242776 O00148 	J:342605 	
MGI:1915528	Ddx39a	DEAD box helicase 39a	8		mRNA splicing, via spliceosome			ISO	O00148 	J:164563 	
MGI:1915528	Ddx39a	DEAD box helicase 39a	8		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:99240	Ddx39b	DEAD box helicase 39b	17		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:99240	Ddx39b	DEAD box helicase 39b	17		mRNA splicing, via spliceosome			IBA	O00148 PTN002776405 Q13838 S000002242 	J:161428 	
MGI:99240	Ddx39b	DEAD box helicase 39b	17		mRNA splicing, via spliceosome			IEA	ENSP00000379475 Q13838 	J:342605 	
MGI:99240	Ddx39b	DEAD box helicase 39b	17		mRNA splicing, via spliceosome			ISO	Q13838 	J:164563 	
MGI:99240	Ddx39b	DEAD box helicase 39b	17		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:99240	Ddx39b	DEAD box helicase 39b	17		RNA splicing			IEA	ENSP00000379475 Q13838 	J:342605 	
MGI:99240	Ddx39b	DEAD box helicase 39b	17		RNA splicing			ISO	Q13838 	J:164563 	
MGI:99240	Ddx39b	DEAD box helicase 39b	17		spliceosomal complex assembly			IEA	ENSP00000379475 Q13838 	J:342605 	
MGI:99240	Ddx39b	DEAD box helicase 39b	17		spliceosomal complex assembly			ISO	Q13838 	J:164563 	
MGI:1920185	Ddx41	DEAD box helicase 41	13		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1920185	Ddx41	DEAD box helicase 41	13		mRNA splicing, via spliceosome			IBA	PTN002776089 Q9UJV9 	J:161428 	
MGI:1920185	Ddx41	DEAD box helicase 41	13		mRNA splicing, via spliceosome			IEA	IPR044113 	J:72247 	
MGI:1920185	Ddx41	DEAD box helicase 41	13		mRNA splicing, via spliceosome			IEA	ENSP00000330349 Q9UJV9 	J:342605 	
MGI:1920185	Ddx41	DEAD box helicase 41	13		mRNA splicing, via spliceosome			ISO	Q9UJV9 	J:164563 	
MGI:1920185	Ddx41	DEAD box helicase 41	13		mRNA splicing, via spliceosome			ISS	Q9UJV9 	J:342587 	
MGI:1920185	Ddx41	DEAD box helicase 41	13		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1919297	Ddx42	DEAD box helicase 42	11		U2-type prespliceosome assembly			IEA	ENSP00000374574 Q86XP3 	J:342605 	
MGI:1919297	Ddx42	DEAD box helicase 42	11		U2-type prespliceosome assembly			ISO	Q86XP3 	J:164563 	
MGI:1919297	Ddx42	DEAD box helicase 42	11		U2-type prespliceosome assembly			ISS	Q86XP3 	J:342587 	
MGI:1920895	Ddx46	DEAD box helicase 46	13		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1920895	Ddx46	DEAD box helicase 46	13		mRNA splicing, via spliceosome			IBA	PTN002775706 Q7L014 S000000441 SPCC10H11.01 	J:161428 	
MGI:1920895	Ddx46	DEAD box helicase 46	13		mRNA splicing, via spliceosome			IEA	ARBA00027704 	J:342609 	
MGI:1920895	Ddx46	DEAD box helicase 46	13		mRNA splicing, via spliceosome			ISO	Q7L014 	J:164563 	
MGI:1920895	Ddx46	DEAD box helicase 46	13		mRNA splicing, via spliceosome			ISS	Q7L014 	J:342587 	
MGI:1920895	Ddx46	DEAD box helicase 46	13		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1920895	Ddx46	DEAD box helicase 46	13		U2-type prespliceosome assembly			ISO	Q7L014 	J:164563 	
MGI:1920895	Ddx46	DEAD box helicase 46	13		U2-type prespliceosome assembly			ISS	Q7L014 	J:342587 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		RNA splicing			IEA	ENSP00000350698 Q9H0S4 	J:342605 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		RNA splicing			ISO	Q9H0S4 	J:164563 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		RNA splicing			ISS	Q9H0S4 	J:342587 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		rRNA processing			IBA	PTN002776206 Q9H0S4 S000001107 	J:161428 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		rRNA processing			IEA	ENSP00000350698 Q9H0S4 	J:342605 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		rRNA processing			ISO	Q9H0S4 	J:164563 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		rRNA processing			ISS	Q9H0S4 	J:342587 	
MGI:2136689	Ddx49	DEAD box helicase 49	8		rRNA processing			IBA	PTN008601880 S000001212 	J:161428 	
MGI:1916913	Ddx51	DEAD box helicase 51	5		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:1925644	Ddx52	DExD box helicase 52	11		maturation of SSU-rRNA			IBA	PTN002774333 S000003139 	J:161428 	
MGI:1925644	Ddx52	DExD box helicase 52	11		maturation of SSU-rRNA			IEA	IPR044764 	J:72247 	
MGI:1919240	Ddx54	DEAD box helicase 54	5		RNA processing			IEA	ARBA00028223 	J:342609 	
MGI:1919240	Ddx54	DEAD box helicase 54	5		RNA processing			IEA	ENSP00000304072 Q8TDD1 	J:342605 	
MGI:1919240	Ddx54	DEAD box helicase 54	5		RNA processing			ISO	Q8TDD1 	J:164563 	
MGI:1919240	Ddx54	DEAD box helicase 54	5		RNA processing			ISS	Q8TDD1 	J:342587 	
MGI:1919240	Ddx54	DEAD box helicase 54	5		rRNA processing			IBA	PTN002773383 S000002189 	J:161428 	
MGI:1915098	Ddx55	DEAD box helicase 55	5		maturation of LSU-rRNA			ISO	Q8NHQ9 	J:164563 	
MGI:1915098	Ddx55	DEAD box helicase 55	5		maturation of LSU-rRNA			ISS	Q8NHQ9 	J:342587 	
MGI:1915098	Ddx55	DEAD box helicase 55	5		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:1277172	Ddx56	DEAD box helicase 56	11		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:2151114	Dgcr8	DGCR8, microprocessor complex subunit	16		positive regulation of pre-miRNA processing			IEA	ENSP00000263209 Q8WYQ5 	J:342605 	
MGI:2151114	Dgcr8	DGCR8, microprocessor complex subunit	16		positive regulation of pre-miRNA processing			ISO	Q8WYQ5 	J:164563 	
MGI:2151114	Dgcr8	DGCR8, microprocessor complex subunit	16		primary miRNA processing			IBA	PTN002668854 Q8WYQ5 	J:161428 	
MGI:2151114	Dgcr8	DGCR8, microprocessor complex subunit	16		primary miRNA processing			IEA	IPR040375 	J:72247 	
MGI:2151114	Dgcr8	DGCR8, microprocessor complex subunit	16		primary miRNA processing			IEA	ENSP00000263209 Q8WYQ5 	J:342605 	
MGI:2151114	Dgcr8	DGCR8, microprocessor complex subunit	16		primary miRNA processing			ISO	CPX-3080 	J:342607 	
MGI:2151114	Dgcr8	DGCR8, microprocessor complex subunit	16		primary miRNA processing			ISO	Q8WYQ5 	J:164563 	
MGI:2151114	Dgcr8	DGCR8, microprocessor complex subunit	16		primary miRNA processing			ISO	Q8WYQ5 	J:73065 	
MGI:1306823	Dhx8	DEAH-box helicase 8	11		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1306823	Dhx8	DEAH-box helicase 8	11		mRNA splicing, via spliceosome			IBA	PTN000433761 Q14562 S000000815 SPAC10F6.02c SPAC20H4.09 	J:161428 	
MGI:1306823	Dhx8	DEAH-box helicase 8	11		mRNA splicing, via spliceosome			IEA	ARBA00027704 	J:342609 	
MGI:1306823	Dhx8	DEAH-box helicase 8	11		mRNA splicing, via spliceosome			IEA	IPR044762 	J:72247 	
MGI:1306823	Dhx8	DEAH-box helicase 8	11		mRNA splicing, via spliceosome			IEA	ENSP00000262415 Q14562 	J:342605 	
MGI:1306823	Dhx8	DEAH-box helicase 8	11		mRNA splicing, via spliceosome			ISO	Q14562 	J:164563 	
MGI:1306823	Dhx8	DEAH-box helicase 8	11		mRNA splicing, via spliceosome			ISS	Q14562 	J:342587 	
MGI:1306823	Dhx8	DEAH-box helicase 8	11		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:108177	Dhx9	DExH-box helicase 9	1		alternative mRNA splicing, via spliceosome			ISO	Q08211 	J:164563 	
MGI:108177	Dhx9	DExH-box helicase 9	1		alternative mRNA splicing, via spliceosome			ISS	Q08211 	J:342587 	
MGI:108177	Dhx9	DExH-box helicase 9	1		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:108177	Dhx9	DExH-box helicase 9	1		regulation of mRNA processing			IBA	PTN001053532 Q08211 	J:161428 	
MGI:108177	Dhx9	DExH-box helicase 9	1		regulation of mRNA processing			ISO	Q08211 	J:164563 	
MGI:108177	Dhx9	DExH-box helicase 9	1		regulation of mRNA processing			ISS	Q08211 	J:342587 	
MGI:108177	Dhx9	DExH-box helicase 9	1		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1099786	Dhx15	DEAH-box helicase 15	5		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1099786	Dhx15	DEAH-box helicase 15	5		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1916442	Dhx16	DEAH-box helicase 16	17		mRNA splicing, via spliceosome			ISO	O60231 	J:164563 	
MGI:1919412	Dhx36	DEAH-box helicase 36	3		positive regulation of mRNA 3'-end processing			IEA	ENSP00000417078 Q9H2U1 	J:342605 	
MGI:1919412	Dhx36	DEAH-box helicase 36	3		positive regulation of mRNA 3'-end processing			ISO	Q9H2U1 	J:164563 	
MGI:1919412	Dhx36	DEAH-box helicase 36	3		positive regulation of mRNA 3'-end processing			ISS	Q9H2U1 	J:342587 	
MGI:3028576	Dhx37	DEAH-box helicase 37	5		maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IBA	PTN000433605 S000004735 	J:161428 	
MGI:1927617	Dhx38	DEAH-box helicase 38	8		mRNA splicing, via spliceosome			IBA	PTN000433948 Q92620 S000001794 SPBC1711.17 	J:161428 	
MGI:1927617	Dhx38	DEAH-box helicase 38	8		mRNA splicing, via spliceosome			ISO	Q92620 	J:164563 	
MGI:1914737	Dhx40	DEAH-box helicase 40	11		mRNA splicing, via spliceosome			IBA	PTN000433948 Q92620 S000001794 SPBC1711.17 	J:161428 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		miRNA processing	happens in skin		IMP	MGI:1926500 MGI:3622169 	J:106792 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		miRNA processing	happens in fibroblast		IMP	MGI:3589209 	J:100475 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		miRNA processing			IMP	MGI:3589287 	J:96031 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		miRNA processing			IMP		J:160526 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		miRNA processing			IMP		J:164021 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		miRNA processing		PR:Q8R418-2	IMP		J:203415 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		miRNA processing			ISO	CPX-1072 	J:342607 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		miRNA processing			ISO	Q9UPY3 	J:164563 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		pre-miRNA processing			IBA	MGI:2177178 PTN001029377 Q9UPY3 	J:161428 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		pre-miRNA processing	happens in embryonic stem cell		IDA		J:152654 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		pre-miRNA processing			IEA	ARBA00027506 	J:342609 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		pre-miRNA processing			IEA	IPR044441 	J:72247 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		pre-miRNA processing			ISO	CPX-1072 	J:342607 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		pre-miRNA processing			ISO	Q9UPY3 	J:164563 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		pre-miRNA processing			ISS	Q9UPY3 	J:342587 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		RNA processing			IDA		J:86391 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		RNA processing			IEA	IPR000999 IPR036389 	J:72247 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		RNA processing			IMP	MGI:3589208 	J:132315 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		rRNA processing			IEA	IPR011907 	J:72247 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		siRNA processing			IBA	MGI:2177178 PTN000383725 Q9UPY3 	J:161428 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		siRNA processing			IDA		J:86391 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		siRNA processing			IEA	ARBA00087137 	J:342609 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		siRNA processing			IEA	IPR044441 	J:72247 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		siRNA processing		PR:Q8R418-2	IMP		J:203415 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		siRNA processing			ISO	CPX-134 	J:342607 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		siRNA processing			ISO	Q9UPY3 	J:164563 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		siRNA processing			ISS	Q9UPY3 	J:342587 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		positive regulation of rRNA processing			IEA	ENSP00000199320 Q9UNQ2 	J:342605 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		positive regulation of rRNA processing			ISO	Q9UNQ2 	J:164563 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		positive regulation of rRNA processing			ISS	Q9UNQ2 	J:342587 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		rRNA methylation			IBA	MGI:2146851 P06992 PTN000197843 Q8WVM0 Q9UNQ2 	J:161428 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		rRNA methylation			IEA	ENSP00000199320 Q9UNQ2 	J:342605 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		rRNA methylation			ISO	Q9UNQ2 	J:164563 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		rRNA methylation			ISS	Q9UNQ2 	J:342587 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		rRNA modification			IEA	ARBA00029193 	J:342609 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		rRNA modification			IEA	IPR020596 IPR020598 	J:72247 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		rRNA processing			IEA	IPR011530 	J:72247 	
MGI:1913504	Dimt1	DIM1 rRNA methyltransferase and ribosome maturation factor	13		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:1919912	Dis3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	14		RNA processing			IEA	ENSP00000366997 Q9Y2L1 	J:342605 	
MGI:1919912	Dis3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	14		RNA processing			ISO	CPX-476 	J:342607 	
MGI:1919912	Dis3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	14		RNA processing			ISO	Q9Y2L1 	J:164563 	
MGI:1919912	Dis3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	14		rRNA processing			IEA	ARBA00028153 	J:342609 	
MGI:1919912	Dis3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	14		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:2143272	Dis3l	DIS3 like exosome 3'-5' exoribonuclease	9		RNA processing			IEA	ENSP00000321711 Q8TF46 	J:342605 	
MGI:2143272	Dis3l	DIS3 like exosome 3'-5' exoribonuclease	9		RNA processing			ISO	CPX-592 	J:342607 	
MGI:2143272	Dis3l	DIS3 like exosome 3'-5' exoribonuclease	9		RNA processing			ISO	Q8TF46 	J:164563 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		box H/ACA sno(s)RNA 3'-end processing			IBA	PTN000565614 S000004165 	J:161428 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		enzyme-directed rRNA pseudouridine synthesis			IEA	ENSP00000358563 O60832 	J:342605 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		enzyme-directed rRNA pseudouridine synthesis			ISO	O60832 	J:164563 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		enzyme-directed rRNA pseudouridine synthesis			ISS	O60832 	J:342587 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		RNA processing			IEA	IPR002501 IPR004802 	J:72247 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		rRNA pseudouridine synthesis			IBA	MGI:1861727 O60832 PTN000565614 RGD:621780 S000004165 	J:161428 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		rRNA pseudouridine synthesis			IEA	ARBA00026725 	J:342609 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		rRNA pseudouridine synthesis			IMP	MGI:2446500 	J:198728 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		rRNA pseudouridine synthesis			IMP	MGI:3849598 	J:91485 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		rRNA pseudouridine synthesis			IMP	MGI:3849599 	J:91485 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		snoRNA guided rRNA pseudouridine synthesis			ISO	RGD:621780 	J:155856 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		snRNA pseudouridine synthesis			IBA	PTN000565614 S000004165 	J:161428 	
MGI:1916658	Dnajc17	DnaJ heat shock protein family (Hsp40) member C17	2		spliceosomal complex disassembly			IBA	PTN002454321 S000003096 SPCC10H11.02 	J:161428 	
MGI:1923173	Dnttip2	deoxynucleotidyltransferase, terminal, interacting protein 2	3		RNA processing			IBA	PTN000495509 S000004041 	J:161428 	
MGI:1922658	Dph3	diphthamine biosynthesis 3	14		tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation			ISS	Q3E840 	J:342587 	
MGI:1261425	Drosha	drosha, ribonuclease type III	15		miRNA processing			IEA	ARBA00028690 	J:342609 	
MGI:1261425	Drosha	drosha, ribonuclease type III	15		pre-miRNA processing			IBA	MGI:1261425 PTN000879608 	J:161428 	
MGI:1261425	Drosha	drosha, ribonuclease type III	15		pre-miRNA processing	happens in embryonic stem cell		IDA		J:152654 	
MGI:1261425	Drosha	drosha, ribonuclease type III	15		pre-miRNA processing			IEA	IPR044442 	J:72247 	
MGI:1261425	Drosha	drosha, ribonuclease type III	15		primary miRNA processing			IBA	PTN000879608 Q9NRR4 	J:161428 	
MGI:1261425	Drosha	drosha, ribonuclease type III	15		primary miRNA processing			IEA	ENSP00000339845 Q9NRR4 	J:342605 	
MGI:1261425	Drosha	drosha, ribonuclease type III	15		primary miRNA processing			ISO	CPX-3080 	J:342607 	
MGI:1261425	Drosha	drosha, ribonuclease type III	15		primary miRNA processing			ISO	Q9NRR4 	J:164563 	
MGI:1261425	Drosha	drosha, ribonuclease type III	15		RNA processing			IEA	IPR000999 IPR036389 	J:72247 	
MGI:1261425	Drosha	drosha, ribonuclease type III	15		rRNA processing			IEA	IPR011907 	J:72247 	
MGI:1916435	Dtwd1	DTW domain containing 1	2		tRNA modification			IBA	PTN001037845 Q8N5C7 	J:161428 	
MGI:1916435	Dtwd1	DTW domain containing 1	2		tRNA modification			IEA	ENSP00000385399 Q8N5C7 	J:342605 	
MGI:1916435	Dtwd1	DTW domain containing 1	2		tRNA modification			ISO	Q8N5C7 	J:164563 	
MGI:1916435	Dtwd1	DTW domain containing 1	2		tRNA modification			ISS	Q8N5C7 	J:342587 	
MGI:1916435	Dtwd1	DTW domain containing 1	2		tRNA processing			IEA	KW-0819 	J:60000 	
MGI:1916107	Dtwd2	DTW domain containing 2	18		RNA glycosylation			IEA	ENSP00000425048 Q8NBA8 	J:342605 	
MGI:1916107	Dtwd2	DTW domain containing 2	18		RNA glycosylation			ISO	Q8NBA8 	J:164563 	
MGI:1916107	Dtwd2	DTW domain containing 2	18		RNA glycosylation			ISS	Q8NBA8 	J:342587 	
MGI:1916107	Dtwd2	DTW domain containing 2	18		tRNA modification			IEA	ENSP00000425048 Q8NBA8 	J:342605 	
MGI:1916107	Dtwd2	DTW domain containing 2	18		tRNA modification			ISO	Q8NBA8 	J:164563 	
MGI:1916107	Dtwd2	DTW domain containing 2	18		tRNA modification			ISS	Q8NBA8 	J:342587 	
MGI:1916107	Dtwd2	DTW domain containing 2	18		tRNA processing			IEA	KW-0819 	J:60000 	
MGI:1915980	Dus1l	dihydrouridine synthase 1 like	11		tRNA dihydrouridine synthesis			IEA	ARBA00027449 	J:342609 	
MGI:1915980	Dus1l	dihydrouridine synthase 1 like	11		tRNA dihydrouridine synthesis			IEA	ENSP00000303515 Q6P1R4 	J:342605 	
MGI:1915980	Dus1l	dihydrouridine synthase 1 like	11		tRNA dihydrouridine synthesis			ISO	Q6P1R4 	J:164563 	
MGI:1915980	Dus1l	dihydrouridine synthase 1 like	11		tRNA dihydrouridine synthesis			ISS	Q6P1R4 	J:342587 	
MGI:1915980	Dus1l	dihydrouridine synthase 1 like	11		tRNA processing			IEA	IPR018517 	J:72247 	
MGI:1915980	Dus1l	dihydrouridine synthase 1 like	11		tRNA processing			IEA	KW-0819 	J:60000 	
MGI:1913619	Dus2	dihydrouridine synthase 2	8		tRNA dihydrouridine synthesis			IBA	PTN000118870 Q9NX74 	J:161428 	
MGI:1913619	Dus2	dihydrouridine synthase 2	8		tRNA dihydrouridine synthesis			IEA	ARBA00027449 	J:342609 	
MGI:1913619	Dus2	dihydrouridine synthase 2	8		tRNA dihydrouridine synthesis			IEA	ENSP00000455229 Q9NX74 	J:342605 	
MGI:1913619	Dus2	dihydrouridine synthase 2	8		tRNA dihydrouridine synthesis			ISO	Q9NX74 	J:164563 	
MGI:1913619	Dus2	dihydrouridine synthase 2	8		tRNA dihydrouridine synthesis			ISS	Q9NX74 	J:342587 	
MGI:1913619	Dus2	dihydrouridine synthase 2	8		tRNA processing			IEA	IPR018517 	J:72247 	
MGI:1913619	Dus2	dihydrouridine synthase 2	8		tRNA processing			IEA	KW-0819 	J:60000 	
